[31.36, 7.55, -100, -100, 1.6, 1.93, -12.3, 4.57, 5.86, 14.4, -52.0, 26.06, -1.74, 51.43, -100, -100, -40.6, 27.7, -100, -100, -100, -100, -2.67, 31.08, -8.08, 15.3, 27.39, 8.41, 12.96, 36.18, -12.53, 28.03, -100, -100, -17.57, 24.25, 41.55, 31.54, -100, -100, -15.32, 4.24, 28.61, 9.31, -100, -100, -100, -100, 13.41, 41.05, -2.0, 32.38, 21.37, 33.56, 0.3, 12.63, 4.33, 3.11, 10.23, 16.57]
[-0.96, 21.16, -100, -100, -12.86, 0.47, -23.11, 4.3, 0.34, 23.85, -51.49, 30.67, -13.71, 56.26, -100, -100, -46.24, 29.25, -100, -100, -100, -100, -15.19, 33.78, -18.08, 16.61, 4.0, 7.66, -0.65, 43.15, -25.44, 28.05, -100, -100, -24.62, 24.23, 36.22, 30.38, -100, -100, -21.18, 3.3, 8.01, 21.98, -100, -100, -100, -100, -0.76, 48.94, -10.9, 43.46, 4.07, 36.56, -12.94, 13.97, -8.88, 2.37, -5.78, 25.82]
[-25.48, 6.47, -100, -100, -11.7, 0.33, -25.48, 6.47, 2.74, 27.43, -51.89, 32.59, -13.9, 57.64, -100, -100, -48.93, 33.2, -100, -100, -100, -100, -17.18, 36.3, -18.83, 19.19, 0.48, 9.53, 0.29, 44.87, -27.59, 30.98, -100, -100, -25.92, 27.14, 36.67, 32.24, -100, -100, -22.39, 8.29, 6.52, 27.47, -100, -100, -100, -100, -1.38, 50.88, -11.25, 45.0, 4.09, 42.85, -13.45, 17.05, -6.45, 4.11, -7.85, 29.68]
[-28.78, 38.06, -100, -100, -6.31, 5.83, -26.69, 14.94, 7.61, 33.28, -51.58, 36.63, -13.85, 58.47, -100, -100, -41.29, 38.06, -100, -100, -100, -100, -11.17, 42.43, -10.89, 27.15, 4.43, 16.09, 0.37, 44.98, -28.65, 38.54, -100, -100, -21.73, 41.96, 36.3, 35.5, -100, -100, -19.66, 25.45, 6.5, 36.98, -100, -100, -100, -100, 2.41, 55.25, -12.37, 55.29, 7.65, 47.0, -5.97, 29.15, 6.19, 17.0, -5.56, 42.15]
[-27.33, 39.45, -100, -100, -5.41, 6.78, -26.56, 15.52, 8.78, 33.89, -51.54, 36.96, -14.72, 58.27, -100, -100, -41.65, 37.54, -100, -100, -100, -100, -6.87, 39.89, -8.92, 26.69, 6.39, 14.87, -0.06, 44.23, -27.33, 39.45, -100, -100, -17.21, 46.0, 36.32, 35.69, -100, -100, -18.51, 26.02, 7.86, 38.51, -100, -100, -100, -100, 3.5, 54.06, -12.45, 56.69, 7.98, 47.32, -3.09, 27.64, 6.51, 17.4, -2.63, 42.88]
[-15.8, 57.71, -100, -100, -6.02, 6.56, -27.62, 14.51, 9.05, 28.12, -51.8, 37.71, -16.24, 57.58, -100, -100, -43.9, 36.07, -100, -100, -100, -100, -4.0, 34.46, -7.53, 24.21, 7.11, 12.14, -2.09, 39.45, -27.14, 36.23, -100, -100, -11.92, 43.59, 35.66, 35.99, -100, -100, -18.29, 22.08, 8.65, 36.87, -100, -100, -100, -100, 4.05, 49.87, -9.13, 50.56, 7.08, 46.01, -0.94, 21.61, 5.93, 15.67, 1.41, 37.79]
[-30.56, 28.16, -100, -100, -8.09, 5.94, -27.83, 12.62, 10.42, 21.42, -51.87, 42.18, -17.97, 51.79, -100, -100, -46.5, 33.31, -100, -100, -100, -100, 0.77, 24.08, -6.67, 17.7, 7.78, 7.19, -4.13, 33.24, -31.3, 27.09, -100, -100, -14.21, 28.31, 35.54, 33.54, -100, -100, -19.21, 16.61, 5.84, 29.13, -100, -100, -100, -100, -0.34, 43.75, -5.68, 34.67, 4.17, 42.52, -0.49, 13.05, 4.89, 9.11, 2.98, 26.52]
[5.32, 7.76, -100, -100, 10.06, 6.97, -5.18, 15.11, 21.86, 18.6, -51.97, 52.91, -2.55, 41.38, -100, -100, -37.11, 30.49, -100, -100, -100, -100, 19.34, 6.8, 0.14, 12.7, 21.57, 8.21, 5.24, 24.62, -7.2, 25.9, -100, -100, -7.55, 25.58, 45.88, 32.66, -100, -100, -1.34, 11.14, 22.23, 20.46, -100, -100, -100, -100, 15.69, 39.23, 7.16, 22.79, 25.01, 33.96, 6.79, 7.11, 13.09, 7.93, 19.97, 8.53]
[9.34, 10.56, -100, -100, 18.0, 6.83, -4.05, 19.93, 24.49, 19.67, -52.04, 55.31, 0.6, 43.2, -100, -100, -37.06, 31.09, -100, -100, -100, -100, 19.88, 9.32, 0.45, 13.58, 27.35, 10.21, 8.32, 29.15, -6.09, 28.8, -100, -100, -10.13, 27.81, 47.49, 32.76, -100, -100, 0.66, 18.71, 25.4, 20.2, -100, -100, -100, -100, 14.99, 38.9, 4.99, 25.82, 26.77, 33.96, 8.56, 12.71, 20.82, 7.69, 20.72, 9.55]
[18.15, 14.04, -100, -100, 13.84, 6.25, -7.07, 22.37, 26.26, 21.79, -51.83, 56.06, 0.61, 43.59, -100, -100, -38.25, 32.18, -100, -100, -100, -100, 16.36, 14.84, -1.16, 13.68, 29.31, 10.81, 7.68, 31.27, -5.75, 29.23, -100, -100, -12.38, 26.4, 47.74, 32.31, -100, -100, -1.93, 21.1, 26.92, 21.25, -100, -100, -100, -100, 15.02, 38.68, 4.11, 26.75, 28.12, 34.03, 7.05, 14.63, 21.67, 6.94, 18.15, 14.04]
